name,order,family,scientific_name,conservation_status,nz_status,url,other_names
Upland moa | Moa pukepuke,Dinornithiformes,Megalapterygidae,Megalapteryx didinus,Extinct,Endemic,http://nzbirdsonline.org.nz/species/upland-moa,
Little bush moa | Moariki,Dinornithiformes,Emeidae,Anomalopteryx didiformis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/little-bush-moa,slender bush moa
Mantell's moa | Moa ruarangi,Dinornithiformes,Emeidae,Pachyornis geranoides,Extinct,Endemic,http://nzbirdsonline.org.nz/species/mantells-moa,"Mappin's moa, Mantells moa, Mappins moa"
Heavy-footed moa | Moa waewae taumaha,Dinornithiformes,Emeidae,Pachyornis elephantopus,Extinct,Endemic,http://nzbirdsonline.org.nz/species/heavy-footed-moa,"heavy footed moa, heavyfooted moa"
Crested moa | Moa koukou,Dinornithiformes,Emeidae,Pachyornis australis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/crested-moa,
Eastern moa | Moa mōmona,Dinornithiformes,Emeidae,Emeus crassus,Extinct,Endemic,http://nzbirdsonline.org.nz/species/eastern-moa,moa momona
Stout-legged moa | Moa hakahaka,Dinornithiformes,Emeidae,Euryapteryx curtus,Extinct,Endemic,http://nzbirdsonline.org.nz/species/stout-legged-moa,"coastal moa, broad-billed moa, stout legged moa, stoutlegged moa"
North Island giant moa | Kuranui,Dinornithiformes,Dinornithidae,Dinornis novaezealandiae,Extinct,Endemic,http://nzbirdsonline.org.nz/species/north-island-giant-moa,
South Island giant moa | Moa nunui,Dinornithiformes,Dinornithidae,Dinornis robustus,Extinct,Endemic,http://nzbirdsonline.org.nz/species/south-island-giant-moa,
North Island brown kiwi | Kiwi-nui,Apterygiformes,Apterygidae,Apteryx mantelli,Not Threatened,Endemic,http://nzbirdsonline.org.nz/species/north-island-brown-kiwi,
Rowi | Okarito brown kiwi,Apterygiformes,Apterygidae,Apteryx rowi,Nationally Endangered,Endemic,http://nzbirdsonline.org.nz/species/okarito-brown-kiwi,Okarito kiwi
Southern brown kiwi | Tokoeka,Apterygiformes,Apterygidae,Apteryx australis,Naturally Uncommon,Endemic,http://nzbirdsonline.org.nz/species/southern-brown-kiwi,
Little spotted kiwi | Kiwi pukupuku,Apterygiformes,Apterygidae,Apteryx owenii,Nationally Increasing,Endemic,http://nzbirdsonline.org.nz/species/little-spotted-kiwi-kiwi-pukupuku,
Great spotted kiwi | Roroa,Apterygiformes,Apterygidae,Apteryx maxima,Nationally Vulnerable,Endemic,http://nzbirdsonline.org.nz/species/great-spotted-kiwi,roa
Plumed whistling duck,Anseriformes,Anatidae,Dendrocygna eytoni,Vagrant,Native,http://nzbirdsonline.org.nz/species/plumed-whistling-duck,"grass whistling duck, plumed whistle duck, grass whistle duck, plumed tree-duck, Eyton’s whistling duck, Eyton’s tree-duck, whistler"
Mute swan | Wāna,Anseriformes,Anatidae,Cygnus olor,Introduced and Naturalised,Introduced,http://nzbirdsonline.org.nz/species/mute-swan,"white swan, wana"
Black swan | Kakīānau,Anseriformes,Anatidae,Cygnus atratus,Not Threatened,Native,http://nzbirdsonline.org.nz/species/black-swan,kakaianu
New Zealand swan | Matapu,Anseriformes,Anatidae,Cygnus sumnerensis,Extinct,Endemic,http://nzbirdsonline.org.nz/species/new-zealand-swan-matapu,pouwa
